City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kenitra,MA,64.72,scattered clouds,34.26,-6.58,Bienvenue chez vous
3,Doha,QA,80.49,clear sky,25.29,51.53,Movenpick Hotel Doha
4,Cidreira,BR,67.84,scattered clouds,-30.18,-50.21,Hotel Castelo
5,Chuy,UY,64.85,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
7,Hasaki,JP,61.29,moderate rain,35.73,140.83,Hotel Sunrise Choshi
10,Rikitea,PF,75.09,overcast clouds,-23.12,-134.97,People ThankYou
14,Wanning,CN,76.86,overcast clouds,18.8,110.4,Paradise Hotel
15,Libertador General San Martin,AR,76.75,light rain,-23.81,-64.79,Posada del Sol
16,Puerto Ayora,EC,70.7,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
17,Lalganj,IN,64.35,clear sky,25.87,85.18,New Amrapali Family Restaurants & Hotal.( Party & Sadi Full Facility Available)
19,Cape Town,ZA,62.1,clear sky,-33.93,18.42,Southern Sun Cape Sun
24,Busselton,AU,60.04,overcast clouds,-33.65,115.33,Observatory Guest House
25,Carnarvon,AU,75.27,clear sky,-24.87,113.63,Hospitality Carnarvon
26,Hermanus,ZA,60.91,scattered clouds,-34.42,19.23,Misty Waves Boutique Hotel
28,Itarema,BR,79.99,scattered clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
29,Port Alfred,ZA,66.06,overcast clouds,-33.59,26.89,The Halyards Hotel
31,Chicama,PE,61.34,scattered clouds,-7.84,-79.15,Balihai Bungalows
32,Kapaa,US,82.38,moderate rain,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
33,Dakar,SN,77.88,overcast clouds,14.69,-17.44,Redface Studios Meublés
34,Selma,US,75.09,overcast clouds,36.57,-119.61,"Holiday Inn Selma-Swancourt, an IHG Hotel"
36,San Quintin,MX,66.29,clear sky,30.48,-115.95,Don Eddie's Sport Fishing Center
37,Hithadhoo,MV,82.78,overcast clouds,-0.6,73.08,Scoop Guest House
39,San Cristobal,VE,66.38,overcast clouds,7.77,-72.22,Pirineos
40,Sakaiminato,JP,62.53,few clouds,35.55,133.23,味処・民宿 まつや
41,Saint-Philippe,RE,69.39,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
42,Praia Da Vitoria,PT,70.05,scattered clouds,38.73,-27.07,Hotel Branco I
43,Waingapu,ID,83.19,overcast clouds,-9.66,120.26,Pondok Wisata Elim
45,Butaritari,KI,82.24,light rain,3.07,172.79,Isles Sunset Lodge
47,Mount Isa,AU,85.77,overcast clouds,-20.73,139.5,ibis Styles Mt Isa Verona
49,Ankpa,NG,74.03,overcast clouds,7.37,7.63,AA Suites
51,Avarua,CK,78.85,overcast clouds,-21.21,-159.78,Paradise Inn
60,Tura,IN,62.02,clear sky,25.52,90.22,Hotel RIKMAN Continental
61,Georgetown,MY,78.89,scattered clouds,5.41,100.34,Cititel Penang
63,Atuona,PF,78.21,clear sky,-9.8,-139.03,Villa Enata
67,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
68,Coromandel,BR,65.73,overcast clouds,-18.47,-47.2,Hotel Dona Adélia
69,Ambilobe,MG,73.89,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
73,Bayshore Gardens,US,73.0,broken clouds,27.43,-82.59,Ramada by Wyndham Sarasota Waterfront
76,Sun Valley,US,66.58,broken clouds,39.6,-119.78,Panther Valley RV Park
82,Mahebourg,MU,70.25,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
83,Kashan,IR,62.71,scattered clouds,33.98,51.44,Manouchehri Traditional House
84,Bandarbeyla,SO,78.84,broken clouds,9.49,50.81,JABIR HOTEL
88,Claveria,PH,80.2,broken clouds,18.61,121.08,Casa Grand Inn By The Sea
89,Kourou,GF,82.11,few clouds,5.16,-52.65,Lodge TAKINI4 Guesthouse KOUROU FGU
90,Banjar,ID,80.46,overcast clouds,-8.19,114.97,The Hamsa Resort
91,Dunmore Town,BS,81.5,broken clouds,25.5,-76.65,Coral Sands Hotel
92,Hilo,US,82.13,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
94,Saint-Pierre,RE,69.48,clear sky,-21.34,55.48,Lindsey Hôtel
96,Arrecife,ES,69.87,clear sky,28.96,-13.55,Hotel Lancelot
97,Benicarlo,ES,67.89,moderate rain,40.42,0.43,El Pinche De Oro
98,Moron,AR,79.0,light rain,-34.65,-58.62,Hotel Morón
99,Bengkulu,ID,77.32,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
100,Makakilo City,US,83.61,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
102,Libreville,GA,77.02,moderate rain,0.39,9.45,Hotel Re-Ndama
104,Atar,MR,82.08,overcast clouds,20.52,-13.05,Oumou Elghoura
105,East London,ZA,63.43,broken clouds,-33.02,27.91,Tu Casa
