City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chifeng,CN,42.27,118.96,36.23,76,100,8.48,overcast clouds
1,Kenitra,MA,34.26,-6.58,64.72,88,32,7.09,scattered clouds
2,Vage,NO,60.05,5.52,51.51,92,100,11.83,overcast clouds
3,Doha,QA,25.29,51.53,80.49,79,0,2.3,clear sky
4,Cidreira,BR,-30.18,-50.21,67.84,88,32,22.06,scattered clouds
5,Chuy,UY,-33.70,-53.46,64.85,89,45,11.79,scattered clouds
6,Punta Arenas,CL,-53.15,-70.92,48.31,53,0,13.8,clear sky
7,Hasaki,JP,35.73,140.83,61.29,67,86,9.55,moderate rain
8,New Norfolk,AU,-42.78,147.06,58.91,51,93,4.0,overcast clouds
9,Xingyi,CN,24.19,102.82,57.33,98,99,3.15,overcast clouds
10,Rikitea,PF,-23.12,-134.97,75.09,87,86,21.25,overcast clouds
11,Ushuaia,AR,-54.80,-68.30,47.86,49,0,17.27,clear sky
12,Mataura,NZ,-46.19,168.86,47.17,98,100,13.78,overcast clouds
13,Ola,RU,59.58,151.28,20.7,58,100,17.27,overcast clouds
14,Wanning,CN,18.80,110.40,76.86,87,94,7.02,overcast clouds
15,Libertador General San Martin,AR,-23.81,-64.79,76.75,72,62,3.09,light rain
16,Puerto Ayora,EC,-0.74,-90.35,70.7,84,96,8.23,overcast clouds
17,Lalganj,IN,25.87,85.18,64.35,67,0,4.12,clear sky
18,Bluff,NZ,-46.60,168.33,49.8,86,96,29.68,overcast clouds
19,Cape Town,ZA,-33.93,18.42,62.1,84,0,1.01,clear sky
20,Tiksi,RU,71.69,128.87,3.56,91,98,9.51,overcast clouds
21,Maniitsoq,GL,65.42,-52.90,35.51,97,100,17.22,moderate rain
22,Svarstad,NO,59.40,9.97,52.7,59,100,7.16,moderate rain
23,Barrow,US,71.29,-156.79,17.62,79,90,3.44,overcast clouds
24,Busselton,AU,-33.65,115.33,60.04,75,96,3.06,overcast clouds
25,Carnarvon,AU,-24.87,113.63,75.27,46,0,14.97,clear sky
26,Hermanus,ZA,-34.42,19.23,60.91,89,42,8.55,scattered clouds
27,Chokurdakh,RU,70.63,147.92,1.67,97,99,6.6,overcast clouds
28,Itarema,BR,-2.92,-39.92,79.99,77,28,10.74,scattered clouds
29,Port Alfred,ZA,-33.59,26.89,66.06,79,86,3.49,overcast clouds
30,Saint-Francois,FR,46.42,3.91,58.48,95,90,3.44,overcast clouds
31,Chicama,PE,-7.84,-79.15,61.34,78,49,5.64,scattered clouds
32,Kapaa,US,22.08,-159.32,82.38,79,90,5.75,moderate rain
33,Dakar,SN,14.69,-17.44,77.88,74,100,5.64,overcast clouds
34,Selma,US,36.57,-119.61,75.09,77,100,4.61,overcast clouds
35,Haines Junction,CA,60.75,-137.51,42.75,49,100,11.5,overcast clouds
36,San Quintin,MX,30.48,-115.95,66.29,76,1,10.25,clear sky
37,Hithadhoo,MV,-0.60,73.08,82.78,76,100,20.38,overcast clouds
38,Enshi,CN,30.30,109.48,58.14,88,95,0.98,overcast clouds
39,San Cristobal,VE,7.77,-72.22,66.38,97,100,0.87,overcast clouds
40,Sakaiminato,JP,35.55,133.23,62.53,88,20,3.44,few clouds
41,Saint-Philippe,RE,-21.36,55.77,69.39,80,69,2.59,broken clouds
42,Praia Da Vitoria,PT,38.73,-27.07,70.05,88,40,10.4,scattered clouds
43,Waingapu,ID,-9.66,120.26,83.19,73,100,4.74,overcast clouds
44,Yellowknife,CA,62.46,-114.35,28.42,90,20,8.05,few clouds
45,Butaritari,KI,3.07,172.79,82.24,74,17,5.88,light rain
