City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-10-26 17:35:09,42.6001,-73.9662,55.58,94,100,1.01
1,Qaanaaq,GL,2021-10-26 17:39:56,77.484,-69.3632,16.86,94,100,14.23
2,Beloha,MG,2021-10-26 17:39:57,-25.1667,45.05,79.14,57,59,7.36
3,Tambo,PE,2021-10-26 17:39:57,-14.8,-73.9167,54.63,16,7,16.58
4,Mataura,NZ,2021-10-26 17:39:57,-46.1927,168.8643,50.94,100,100,0.34
5,Bilma,NE,2021-10-26 17:39:58,18.6853,12.9164,87.46,12,0,7.29
6,Mbarara,UG,2021-10-26 17:39:58,-0.608,30.65,64.74,82,88,1.86
7,Vaini,TO,2021-10-26 17:39:59,-21.2,-175.2,71.76,83,20,11.5
8,Bluff,NZ,2021-10-26 17:39:59,-46.6,168.3333,51.39,92,100,2.84
9,Ekhabi,RU,2021-10-26 17:39:59,53.5102,142.9671,34.97,89,96,5.99
10,Maceio,BR,2021-10-26 17:40:00,-9.6658,-35.7353,78.24,88,75,12.66
11,Bethel,US,2021-10-26 17:40:00,41.3712,-73.414,63.1,94,100,3.0
12,Ushuaia,AR,2021-10-26 17:40:01,-54.8,-68.3,47.86,66,40,11.5
13,Amga,RU,2021-10-26 17:40:01,60.8953,131.9608,30.6,94,100,1.59
14,Castro,BR,2021-10-26 17:37:45,-24.7911,-50.0119,75.15,47,73,2.08
15,Dikson,RU,2021-10-26 17:40:02,73.5069,80.5464,13.21,88,100,10.16
16,Grindavik,IS,2021-10-26 17:40:03,63.8424,-22.4338,41.47,87,90,21.85
17,Hithadhoo,MV,2021-10-26 17:35:12,-0.6,73.0833,83.82,71,43,16.62
18,Sorland,NO,2021-10-26 17:40:04,67.667,12.6934,44.46,88,74,5.08
19,Pacific Grove,US,2021-10-26 17:40:04,36.6177,-121.9166,61.63,75,1,1.99
20,New Norfolk,AU,2021-10-26 17:40:05,-42.7826,147.0587,44.71,76,84,2.39
21,Aller,ES,2021-10-26 17:40:06,43.1187,-5.5839,60.46,75,53,2.28
22,Chuy,UY,2021-10-26 17:40:06,-33.6971,-53.4616,83.01,44,0,11.97
23,Liku,ID,2021-10-26 17:40:07,-0.7275,119.8922,75.47,89,29,2.71
24,Ulaangom,MN,2021-10-26 17:40:07,49.9811,92.0667,32.43,72,7,3.15
25,Hilo,US,2021-10-26 17:40:08,19.7297,-155.09,80.28,77,20,9.22
26,Port Elizabeth,ZA,2021-10-26 17:40:09,-33.918,25.5701,68.09,88,40,17.27
27,Alice Springs,AU,2021-10-26 17:40:09,-23.7,133.8833,85.55,28,24,14.97
28,Cape Town,ZA,2021-10-26 17:39:12,-33.9258,18.4232,73.11,53,0,1.99
29,Ciudad Bolivar,VE,2021-10-26 17:40:10,8.1222,-63.5497,90.23,49,97,6.13
30,Vestmannaeyjar,IS,2021-10-26 17:35:53,63.4427,-20.2734,45.59,76,20,34.52
31,Clyde River,CA,2021-10-26 17:40:10,70.4692,-68.5914,23.43,82,100,4.65
32,Victoria,HK,2021-10-26 17:40:10,22.2855,114.1577,78.85,85,100,4.0
33,Mar Del Plata,AR,2021-10-26 17:36:27,-38.0023,-57.5575,84.22,54,0,7.0
34,Mahibadhoo,MV,2021-10-26 17:40:11,3.7833,72.9667,82.18,75,100,11.7
35,Hermanus,ZA,2021-10-26 17:40:11,-34.4187,19.2345,64.8,82,94,18.16
36,Severo-Kurilsk,RU,2021-10-26 17:40:11,50.6789,156.125,43.86,85,78,5.68
37,Puerto Leguizamo,CO,2021-10-26 17:40:12,-0.1934,-74.7819,76.15,97,100,5.32
38,Barrow,US,2021-10-26 17:40:12,71.2906,-156.7887,24.82,86,90,9.22
39,Faanui,PF,2021-10-26 17:40:12,-16.4833,-151.75,77.86,78,91,11.65
40,Pevek,RU,2021-10-26 17:40:13,69.7008,170.3133,11.48,95,100,11.56
41,Porto Santo,PT,2021-10-26 17:40:13,33.072,-16.3415,71.98,60,40,12.66
42,Rikitea,PF,2021-10-26 17:40:13,-23.1203,-134.9692,75.11,79,100,18.75
43,Drezdenko,PL,2021-10-26 17:40:13,52.8383,15.8308,51.64,84,100,6.55
44,Cascavel,BR,2021-10-26 17:40:14,-24.9558,-53.4553,82.0,32,40,5.75
45,Fare,PF,2021-10-26 17:40:14,-16.7,-151.0167,77.67,78,83,8.01
46,Petropavlovsk-Kamchatskiy,RU,2021-10-26 17:40:14,53.0452,158.6483,32.59,100,75,2.24
47,Alofi,NU,2021-10-26 17:38:35,-19.0595,-169.9187,73.29,88,42,6.91
48,Jamestown,US,2021-10-26 17:40:15,42.097,-79.2353,44.19,99,90,7.0
49,Tiksi,RU,2021-10-26 17:40:15,71.6872,128.8694,12.15,95,100,3.15
50,Lensk,RU,2021-10-26 17:40:16,60.7253,114.9278,22.78,90,46,8.34
51,Tuktoyaktuk,CA,2021-10-26 17:40:16,69.4541,-133.0374,26.6,100,90,6.91
52,Punta Arenas,CL,2021-10-26 17:38:46,-53.15,-70.9167,50.11,66,20,34.52
53,Gorontalo,ID,2021-10-26 17:40:16,0.5412,123.0595,75.47,95,51,2.57
54,Baruun-Urt,MN,2021-10-26 17:40:17,46.6806,113.2792,34.39,51,0,10.87
55,Busselton,AU,2021-10-26 17:40:17,-33.65,115.3333,48.04,91,100,5.82
56,Tasiilaq,GL,2021-10-26 17:40:17,65.6145,-37.6368,35.76,83,100,7.16
57,Katsuura,JP,2021-10-26 17:40:18,35.1333,140.3,60.91,73,71,5.57
58,Pokrovsk,UA,2021-10-26 17:40:18,48.282,37.1758,36.84,40,9,6.49
59,Conde,BR,2021-10-26 17:40:18,-7.2597,-34.9075,76.46,88,75,9.22
60,Tikapur,NP,2021-10-26 17:40:19,28.5,81.1333,66.22,86,0,3.0
61,Puerto Del Rosario,ES,2021-10-26 17:40:19,28.5004,-13.8627,74.88,68,20,19.57
62,Atuona,PF,2021-10-26 17:40:19,-9.8,-139.0333,77.29,68,61,15.9
63,Ambilobe,MG,2021-10-26 17:40:20,-13.2,49.05,75.76,68,25,5.68
64,Cidreira,BR,2021-10-26 17:40:20,-30.1811,-50.2056,76.39,53,0,9.24
65,Provideniya,RU,2021-10-26 17:40:20,64.3833,-173.3,14.99,81,89,5.53
66,Arman,RU,2021-10-26 17:40:20,59.7,150.1667,19.85,81,30,6.33
67,Tuatapere,NZ,2021-10-26 17:40:21,-46.1333,167.6833,52.75,97,99,2.17
68,Castanos,MX,2021-10-26 17:40:21,26.7833,-101.4167,84.34,47,99,4.68
69,San Patricio,US,2021-10-26 17:40:22,28.017,-97.5169,86.02,57,99,16.15
70,Turayf,SA,2021-10-26 17:40:22,31.6725,38.6637,71.85,28,0,4.61
71,Sao Jose De Ribamar,BR,2021-10-26 17:40:22,-2.5619,-44.0542,91.78,73,46,17.83
72,Ahuimanu,US,2021-10-26 17:40:23,21.4447,-157.8378,76.78,70,20,4.61
73,Goderich,CA,2021-10-26 17:40:23,43.7501,-81.7165,46.9,76,100,16.11
74,Alyangula,AU,2021-10-26 17:40:23,-13.8483,136.4192,78.67,94,4,3.44
75,Ponnani,IN,2021-10-26 17:40:24,10.767,75.9252,81.72,89,100,4.41
76,Lerik,AZ,2021-10-26 17:40:24,38.7726,48.4128,32.72,87,70,3.94
77,Shingu,JP,2021-10-26 17:40:24,33.7333,135.9833,60.49,75,46,4.52
78,Hasaki,JP,2021-10-26 17:40:25,35.7333,140.8333,48.6,71,2,4.03
79,Souillac,MU,2021-10-26 17:40:25,-20.5167,57.5167,74.35,73,40,12.66
80,Tezu,IN,2021-10-26 17:40:25,27.9167,96.1667,67.93,62,0,4.43
81,Sitrah,BH,2021-10-26 17:40:25,26.1547,50.6206,82.4,58,0,3.0
